Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2025-03-11,549.4674682617188,555.9199829101562,564.02001953125,552.02001953125,559.4000244140625,88102100
2025-03-12,552.3832397460938,558.8699951171875,563.1099853515625,553.6900024414062,562.1699829101562,69588200
2025-03-13,545.019775390625,551.4199829101562,559.1099853515625,549.6799926757812,558.489990234375,74079400
2025-03-14,556.277587890625,562.8099975585938,563.8300170898438,551.489990234375,556.1099853515625,62660300
2025-03-17,560.567138671875,567.1500244140625,569.7100219726562,562.3499755859375,562.7899780273438,49008700
2025-03-18,554.5083618164062,561.02001953125,565.02001953125,559.0599975585938,564.7999877929688,66041400
2025-03-19,560.54736328125,567.1300048828125,570.9500122070312,561.6300048828125,562.8300170898438,66556000
2025-03-20,558.9264526367188,565.489990234375,570.5700073242188,562.5999755859375,563.3300170898438,62958200
2025-03-21,559.11083984375,563.97998046875,564.8900146484375,558.030029296875,559.280029296875,83763000
2025-03-24,569.1236572265625,574.0800170898438,575.1500244140625,570.2000122070312,570.7999877929688,58766800
2025-03-25,570.4917602539062,575.4600219726562,576.4099731445312,573.6900024414062,575.2999877929688,38355700
2025-03-26,563.6810302734375,568.5900268554688,576.3300170898438,567.1900024414062,575.1900024414062,51848300
2025-03-27,562.18408203125,567.0800170898438,570.9000244140625,564.9400024414062,567.1799926757812,42164200
2025-03-28,550.8626708984375,555.6599731445312,566.27001953125,555.0700073242188,565.530029296875,71662700
2025-03-31,554.5604858398438,559.3900146484375,560.7100219726562,546.8699951171875,549.8300170898438,95328200
2025-04-01,556.1267700195312,560.969970703125,562.9400024414062,553.6799926757812,557.4500122070312,54609600
2025-04-02,559.6461791992188,564.52001953125,567.4199829101562,554.8099975585938,555.0499877929688,76014500
2025-04-03,532.06640625,536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000
2025-04-04,500.9176330566406,505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,217965100
2025-04-07,500.025390625,504.3800048828125,523.1699829101562,481.79998779296875,489.19000244140625,256611400
2025-04-08,492.1936340332031,496.4800109863281,524.97998046875,489.1600036621094,521.8599853515625,165816600
2025-04-09,543.8834838867188,548.6199951171875,548.6199951171875,493.04998779296875,493.44000244140625,241867300
2025-04-10,520.0510864257812,524.5800170898438,533.5,509.32000732421875,532.1699829101562,162331200
2025-04-11,529.3302001953125,533.9400024414062,536.4299926757812,520.0700073242188,523.010009765625,97866300
2025-04-14,534.4654541015625,539.1199951171875,544.280029296875,533.8599853515625,544.0499877929688,68034000
2025-04-15,532.9684448242188,537.6099853515625,543.22998046875,536.8099975585938,539.6699829101562,56892900
2025-04-16,521.1217041015625,525.6599731445312,537.8900146484375,520.2899780273438,531.6799926757812,83484800
2025-04-17,521.8651733398438,526.4099731445312,531.1699829101562,523.9099731445312,527.6400146484375,79868100
2025-04-21,509.443359375,513.8800048828125,521.7000122070312,508.4599914550781,521.1599731445312,69368100
2025-04-22,522.697998046875,527.25,529.2999877929688,519.1900024414062,520.1400146484375,75948100
2025-04-23,530.79736328125,535.4199829101562,545.4299926757812,533.8800048828125,540.4299926757812,90590700
2025-04-24,541.9701538085938,546.6900024414062,547.4299926757812,535.4500122070312,536.719970703125,64150400
2025-04-25,545.885986328125,550.6400146484375,551.0499877929688,543.6900024414062,546.6500244140625,61119600
2025-04-28,546.0941772460938,550.8499755859375,553.5499877929688,545.02001953125,551.3900146484375,47613800
2025-04-29,549.5341796875,554.3200073242188,555.4500122070312,548.5499877929688,548.9099731445312,47775100
2025-04-30,549.7523803710938,554.5399780273438,556.52001953125,541.52001953125,547.5700073242188,93101500
2025-05-01,553.6483764648438,558.469970703125,564.0700073242188,557.8599853515625,560.3699951171875,63186100
2025-05-02,561.8668212890625,566.760009765625,568.3800048828125,562.3800048828125,564.72998046875,60717300
2025-05-05,558.6448974609375,563.510009765625,566.6500244140625,561.7000122070312,562.5700073242188,38659200
